ds,统计时间,campaign_id,campaign_name,曝光数,点击数,花费,应用内转换次数,按装数,session_设备数,session_dau,session_dac,session_gmv,联盟收入,P4p广告收入,session口径下单用户数,session口径支付新用户数,历史0单会员数,session口径支付新用户GMV,一跳P4P点击花费，美分,24h_dac,24h_gmv,24h-gmvroi,dac成本,sess-gmvroi,商业roi,geo type,是否全托,是否人群,time_range
20251001,20251001,AhBzvg4zNyz9BrZa,AliExpress_moloco_rmkt_null_android_app_CL_purchase_CPA_RE_null,679145,23468,300.05,0,0,10964,10828,22,483.96,37.45,23.24,24,0,939,0,0,,3941.6,,,,,CL,no,no,
20251001,20251001,AoTrwaX4gJKcsnpU,AliExpress_moloco_rmkt_null_android_app_GCC_AE KW QA BH_purchase_CPA_RE_null,74474,8957,333.98,0,0,4010,3838,6,263.02,48.43,11.54,6,2,918,2160,0,,3914.44,,,,,GCC,no,no,
20251001,20251001,Bo5BOHZpf8Czmdhg,AliExpress_moloco_rmkt_null_android_app_EU10_purchase_CPA_RE_null,313576,8696,301.06,0,0,3686,3643,6,84.96,170.72,23.22,8,0,216,0,0,,4656.77,,,,,EU10,no,no,
20251001,20251001,C2yH6jzJz4IzQyzZ,AliExpress_moloco_rmkt_null_android_app_AUS_purchase_CPA_RE_null,509191,12578,559.42,0,0,4739,4690,12,331.2,61.46,20.45,14,0,363,0,0,,3831.04,,,,,AUS,no,no,
20251001,20251001,C8w6QMX7C18oiKUy,AliExpress_moloco_rmkt_null_Android_app_BR_purchase_ROAS_RE_null,119432,5016,201.37,0,0,2433,2387,5,258.98,64.76,13.73,8,0,210,0,0,,4340.76,,,,,BR,no,no,
20251001,20251001,FtAYDtsOOucWMmY5,AliExpress_moloco_rmkt_null_android_app_others_CL_purchase_CPA_RE_null,110851,38686,300.57,0,0,15259,14935,11,236.47,39.13,32.92,13,1,3390,1385,0,,3382.44,,,,,others,no,no,
20251001,20251001,HxpI5DxERnMsyn0B,AliExpress_moloco_rmkt_null_android_app_CA_purchase_CPA_RE_null,96825,5400,202.02,0,0,2366,2359,7,146.51,57.77,9.97,8,0,155,0,0,,1610.54,,,,,CA,no,no,
20251001,20251001,If7SvoFxoCsQLpuI,AliExpress_moloco_rmkt_null_Android_app_KR_appopen_DAU_RE_null,91752,24183,100.22,0,0,4295,4220,7,137.87,6.92,7.99,8,0,222,0,0,,411.74,,,,,KR,no,no,
20251001,20251001,NSzoa2gxgzVwWqtv,AliExpress_moloco_rmkt_null_android_app_ISR_purchase_ROAS_RE_null,648598,18967,501.75,0,0,6611,6549,20,695.03,139.73,34.65,22,0,127,0,0,,5695.91,,,,,IL,no,no,
20251001,20251001,OienH2QTcmAmx9dz,AliExpress_moloco_rmkt_null_android_app_GCC_AE KW QA BH_purchase_ROAS_RE_null,95738,5010,283.21,0,0,1663,1627,3,1760.88,45.5,7.18,4,0,251,0,0,,4335.01,,,,,GCC,no,no,
